Prediction Image,Ground Truth Image,IoU
BORA_2c,BORA 2c.tif,0.7154937375602008
BORA_3a,BORA 3a.tif,0.8158274963363072
BORA_3b,BORA 3b.tif,0.7980411267635132
BORA_3c,BORA 3c.tif,0.738886473330208
BORA_4a,BORA 4a.tif,0.782561194952646
BORA_4b,BORA 4b.tif,0.8218528876643967
BORA_4c,BORA 4c.tif,0.7272869696881883
BORA_5a,BORA 5a.tif,0.7799328015020243
BORA_5b,BORA 5b.tif,0.8076689051325785
BORA_5c,BORA 5c.tif,0.7917291251791516
BORA_6a,BORA 6a.tif,0.8657184928297499
BORA_6b,BORA 6b.tif,0.8200615487066698
BORA_7a,BORA 7a.tif,0.8266363845072475
BORA_7c,BORA 7c.tif,0.8026616936948514
BORA_8c,BORA 8c.tif,0.8610152716413086
BORA_9b,BORA 9b.tif,0.7995994030175616
BORA_9c,BORA 9c.tif,0.8151763142976632
BORA_1a,BORA_1a.tif,0.8504819158290516
BORA_1c,BORA_1c.tif,0.8813204643386656
BORA_6c,BORA_6c.tif,0.837635113592318
BORA_7b,BORA_7b.tif,0.8610627760674608
BORA_8a,BORA_8a.tif,0.8311695786161978
BORA_8b,BORA_8b.tif,0.8237970264112332
BORA_9a,BORA_9a.tif,0.7849049892149542
B_81_4c,B_81_4c.tif,0.8939754950307706
B_81_5c,B_81_5c.tif,0.8825882650192346
B_81_7b,B_81_7b.tif,0.9207956768388107
PANNONIA_10a,PANNONIA 10a.tif,0.7770202332475087
PANNONIA_10b,PANNONIA 10b.tif,0.8426690687226395
PANNONIA_10c,PANNONIA 10c.tif,0.8114782845326193
PANNONIA_1b,PANNONIA 1b.tif,0.8285395028958282
PANNONIA_1c,PANNONIA 1c.tif,0.7700906553656787
PANNONIA_2a,PANNONIA 2a.tif,0.7871889421113669
PANNONIA_2b,PANNONIA 2b.tif,0.8032809729273885
PANNONIA_2c,PANNONIA 2c.tif,0.8284091140803337
PANNONIA_3a,PANNONIA 3a.tif,0.8021858641239066
PANNONIA_3b,PANNONIA 3b.tif,0.8444101454117579
PANNONIA_3c,PANNONIA 3c.tif,0.811543149046948
PANNONIA_4a,PANNONIA 4a.tif,0.7708159553710741
PANNONIA_4b,PANNONIA 4b.tif,0.8399415359140758
PANNONIA_4c,PANNONIA 4c.tif,0.8404453587919121
PANNONIA_5a,PANNONIA 5a.tif,0.7898666868308517
PANNONIA_5b,PANNONIA 5b.tif,0.8309714377674864
PANNONIA_5c,PANNONIA 5c.tif,0.7567762628424873
PANNONIA_6a,PANNONIA 6a.tif,0.041337350226358295
PANNONIA_6b,PANNONIA 6b.tif,0.7119237543461218
PANNONIA_6c,PANNONIA 6c.tif,0.7858994224538668
PANNONIA_7a,PANNONIA 7a.tif,0.8616916824616225
PANNONIA_8a,PANNONIA 8a.tif,0.7126252090553845
PANNONIA_8b,PANNONIA 8b.tif,0.8058392169067884
PANNONIA_8c,PANNONIA 8c.tif,0.7655233862445435
PANNONIA_9a,PANNONIA 9a.tif,0.8286016971706359
PANNONIA_9b,PANNONIA 9b.tif,0.8335587488200338
PANNONIA_9c,PANNONIA 9c.tif,0.8289645969084076
PANNONIA_1a,PANNONIA_1a.tif,0.868428836548049
PANNONIA_7b,PANNONIA_7b.tif,0.831527264141388
PANNONIA_7c,PANNONIA_7c.tif,0.8805041651842521
